Type	Freqgold
said	211
teeth	208
pull	208
yum	208
as	207
stand	206
food	206
belly	205
cup	204
fall	204
dog	203
people	203
milk	203
hat	203
bed	203
car	202
an	200
first	200
meow	200
yourself	196
toys	195
hot	195
funny	194
cookie	194
alex	194
sweetheart	194
playing	193
sorry	190
bath	189
eating	189
clap	188
cow	188
gone	187
dirty	186
pie	186
floor	186
leave	186
roll	186
mkay	185
piggy	183
things	183
wrong	182
hurt	181
fun	181
sure	181
almost	180
chew	180
our	179
mess	179
box	178
bit	178
coming	178
bus	178
new	178
a@l	178
b@l	177
old	176
by	176
through	175
god	175
pattycake	174
chicken	174
page	172
books	172
together	171
wow	170
cold	169
comes	167
five	167
happy	167
won't	167
sing	167
brooklyn	166
morgie	164
fish	164
sleepy	164
job	164
shirt	163
mooshas	161
phone	161
whoops	160
bring	156
brown	155
excuse	155
maybe	151
clothes	150
mom	150
tired	149
elmo	148
upstairs	148
which	148
downstairs	147
fingers	147
home	147
under	146
quack	146
pants	146
shoe	145
fell	143
wee	143
high	142
mean	142
c@l	140
stay	140
duck	140
dada	139
horsie	139
show	139
work	139
even	139
hit	138
yep	138
wet	137
piece	136
hard	136
name	135
finger	134
tabitha	134
orange	133
end	133
bad	133
wants	133
left	132
ring	131
microphone	131
pick	131
guess	130
enough	130
hungry	130
such	129
yay	129
lot	129
found	129
she's	129
banana	128
though	128
while	128
eye	128
uhhuh	128
toes	128
noise	126
kinda	126
making	125
shake	125
run	125
change	125
long	125
babies	124
jaylen	124
lay	124
puppy	124
into	124
window	124
eyes	123
talking	123
being	122
wipe	122
aren't	121
next	121
tyrese	121
only	120
talk	120
knock	120
smell	120
sound	119
socks	119
lunch	117
blocks	117
ssh	117
you'll	117
brush	116
before	116
light	116
looks	115
inside	115
daddy's	115
bread	114
yet	114
fuzzy	114
six	114
alone	113
bowl	113
bib	112
leg	112
taste	112
loves	111
later	111
real	111
been	110
came	110
supposed	110
sleep	110
made	110
tail	110
tim	108
choo	108
matter	108
us	107
kisses	106
nothing	106
might	106
jesus	106
dakota	106
“i	105
bless	105
oopsie	105
teddy	104
cute	104
moosh	103
circle	102
tree	102
fast	102
saying	101
rabbit	101
yuck	101
mama's	100
wear	100
white	99
stick	99
you've	98
square	98
must	98
top	98
dry	97
birthday	97
great	96
nope	96
d@l	96
ear	96
finish	96
bag	96
hug	95
use	95
paul	95
mail	95
bouncie	94
basket	94
putting	94
told	94
snap	94
uhuh	94
many	93
black	93
beep	93
thought	93
anything	93
cereal	92
took	92
everything	92
remember	91
soft	91
timmy's	91
fit	90
cheerios	90
song	90
number	90
mother	90
am	90
march	90
hang	90
spider	90
story	90
flowers	89
truck	89
horse	89
seven	88
sock	88
mirror	87
sitting	87
baa	87
picture	87
bye	87
tongue	86
balloon	86
fat	85
dear	85
second	84
whole	84
cool	84
button	83
walking	83
o@l	83
nana	83
touch	83
mickey	83
side	82
stinky	82
round	82
ten	81
lots	81
apple	81
heavy	81
fix	81
saw	80
pot	80
shut	80
moomooshas	80
stuck	80
never	80
arm	79
full	79
sun	79
paper	79
block	79
barn	79
toe	79
poopie	78
nap	78
allen	78
probably	78
game	77
already	77
part	77
ride	77
nine	76
catch	76
until	76
everywhere	76
kind	76
dinner	76
g@l	75
elephant	75
pig	74
eggs	74
somebody	74
check	74
sheep	74
pop	74
likes	74
winnie	73
tasty	73
warm	73
applesauce	72
their	72
makes	72
zip	72
pat	71
egg	71
than	71
lamb	71
eight	71
rain	71
after	71
blankie	71
mouse	70
“hi	70
dropped	70
bounce	70
soon	70
apart	70
animals	70
zipper	69
thirsty	69
vas	69
alexander	69
behind	69
call	69
always	69
morgan's	68
boo	68
blow	68
cut	67
purple	67
reach	67
taking	67
e@l	67
last	67
fine	67
having	67
legs	67
diapie	66
breakfast	66
anymore	66
lord	66
mad	66
yours	66
hop	66
i@l	66
flower	66
stairs	66
telephone	65
tigger	65
ouch	65
start	65
happened	65
climb	64
trees	64
hole	64
cake	64
tub	63
wasn't	63
piggies	63
rest	62
bang	62
splash	62
keys	62
rattle	62
baby's	62
favorite	62
triangle	61
whoopsie	61
lid	61
table	61
throwing	61
pink	60
la	60
crawl	60
ahead	60
feed	60
piglet	59
wave	59
finished	59
bubbles	58
giddyup	58
it'll	58
heard	58
ears	58
running	58
jacob	58
washed	58
quite	58
lady	58
build	58
gave	57
press	57
fussing	57
wanted	57
peter	57
haven't	57
needs	57
poo	56
balloons	56
ain't	56
brisco	56
twenty	56
doodle	56
knees	56
smart	56
wonderful	56
own	55
booboo	55
children	55
lion	55
place	55
turtle	55
music	55
ate	55
judy	54
dump	54
reading	54
monster	54
piggie	54
f@l	54
moomoo	53
slow	53
upside	53
couch	53
trash	53
called	53
ernie	52
dad	52
rooster	52
care	52
buy	52
neigh	52
we've	52
rolling	52
best	52
both	52
changed	52
yucky	52
pee	52
morning	52
money	51
tray	51
friend	51
mandy's	51
idea	51
beautiful	51
tall	51
baba	51
bike	51
grass	51
anyway	50
woody	50
wide	50
gentle	50
carrots	50
morgie's	50
balls	49
potatos	49
basketball	49
tummy	49
mine	49
blowing	49
different	49
slide	49
doo	49
giving	49
comb	48
break	48
tonight	48
rough	48
singing	48
falling	48
cracker	48
bean	48
town	48
snack	48
birdie	47
n@l	47
wonder	47
bet	47
peaches	47
pack	47
x@l	47
bucket	47
refrigerator	47
frog	47
small	47
v	47
coat	47
airplane	47
drop	47
drinking	47
kitchen	46
coffee	46
me”	46
standing	46
grandma	46
hope	46
pears	46
either	46
drum	45
neat	45
clifford	45
glad	45
woof	45
tweet	45
booty	45
peas	45
miss	45
dollie	45
school	45
k@l	45
knew	45
monkey	44
farm	44
buckle	44
step	44
puzzle	44
dyeisha	44
t	44
t@l	44
kick	44
closed	44
same	43
knows	43
duckie	43
soap	43
farmer	43
colors	43
bouncy	43
hay	43
crazy	43
world	43
cookies	43
pen	43
wouldn't	43
crying	43
praise	43
used	43
bee	43
loud	42
forgot	42
watching	42
buzz	42
swing	42
understand	42
cough	42
pear	42
cock	42
yesterday	42
birds	42
towel	42
rocks	41
quick	41
star	41
tape	41
sky	41
bake	41
dressed	41
leaf	41
threw	41
stink	41
rock	41
flying	41
color	41
cry	41
beans	41
noodles	41
babe	41
guy	41
h@l	41
may	41
sister	40
pet	40
year	40
m@l	40
calm	40
byebyes	40
wheels	40
tootsies	40
weensie	40
listen	40
excited	40
pumpkin	40
bouncing	40
blanket	40
ran	40
easter	40
lap	39
pulling	39
barking	39
minutes	39
clink	39
working	39
swish	39
none	39
dance	39
clock	39
squirrelie	39
quiet	39
air	39
wind	38
p@l	38
umbrella	38
cleaning	38
doll	38
abcs	38
deep	38
fruit	38
glasses	38
son	38
oven	38
chips	38
shall	38
peg	38
telling	38
purr	38
snow	38
fixing	37
boneen	37
set	37
ground	37
diapers	37
spit	37
front	37
cart	37
learn	37
cheerio	37
eensie	37
rings	37
spout	36
baker's	36
mark	36
hide	36
squash	36
computer	36
q@l	36
j@l	36
sounds	36
cannot	36
bump	36
owl	36
onto	36
chin	36
s@l	36
rejoice	36
kitty's	36
joy	36
buddy	36
sometimes	36
seat	36
caught	35
pieces	35
wish	35
medicine	35
washing	35
strong	35
everybody	35
hiding	35
u@l	35
friends	35
sleeping	35
waving	35
timothy	35
few	35
pea	35
sick	35
pictures	35
lost	35
once	35
baseball	34
feels	34
jacket	34
every	34
gate	34
wall	34
gets	34
played	34
“byebye	34
z@l	34
rid	34
i've	34
ew	34
you'd	34
family	34
butt	34
chewing	34
rice	34
ever	34
froggie	34
kids	34
w@l	34
scratchy	34
pool	33
himself	33
crackers	33
bigger	33
dishes	33
apples	33
sweep	33
“no	33
moon	33
leaves	33
shouldn't	33
ask	32
maggie's	32
street	32
how's	32
v@l	32
course	32
since	32
l@l	32
couple	32
biting	32
bone	32
caterpillar	32
up”	32
quit	32
share	32
fur	32
r@l	32
butterfly	32
grab	32
dinosaur	32
poor	32
peanut	31
sammy	31
actually	31
drawer	31
bat	31
y@l	31
memee	31
anybody	31
bottom	31
i'd	31
mix	31
handsome	31
days	31
christmas	31
yumyum	31
boat	31
beat	31
scoop	31
cleaned	31
far	31
pan	31
bunnies	31
moving	31
count	30
special	30
mooshaboosh	30
rainbow	30
nobody	30
stroller	30
mittens	30
chickie	30
steps	30
jumping	30
daisy	30
tooth	30
pile	30
tee	30
card	30
laugh	30
wake	30
potato	30
tractor	30
bears	30
fits	30
thinking	30
whisper	30
early	30
knocked	30
market	30
messy	29
worry	29
rinse	29
half	29
drive	29
“all	29
animal	29
missed	29
binkies	29
bunch	29
empty	29
asked	29
recording	29
busy	29
twelve	29
bubble	29
along	29
fuss	29
broom	29
it”	29
lotion	29
king	29
plant	29
ice	29
santa	28
mommy”	28
above	28
problem	28
pillow	28
eleven	28
burp	28
pamper	28
goose	28
cupcake	28
uncle	28
thirty	28
anywhere	28
yogurt	28
dancing	28
smile	28
binkie	28
lettuce	28
crayons	27
whatever	27
shoulders	27
bridge	27
laughing	27
fence	27
cards	27
ones	27
squirrel	27
tastes	27
joe	27
bananas	27
raining	27
cream	27
c	27
macaroni	27
tissue	27
aunt	27
toilet	27
sink	27
tough	27
miranda	27
sir	27
adam	26
cows	26
sad	26
kittens	26
grow	26
icky	26
pocket	26
nummy	26
dokey	26
knee	26
least	26
each	26
store	26
crayon	26
party	26
bert	26
spot	26
cutie	26
kitty”	26
bumpy	26
missing	26
fussy	26
looked	26
andy	26
works	26
ducks	26
glass	25
thanks	25
messing	25
abc	25
leaving	25
fresh	25
low	25
seen	25
vegetables	25
doggies	25
“a	25
tear	25
bonk	25
write	25
feeling	25
shaking	25
okey	25
beads	25
fishie	25
somewhere	25
beef	25
closet	25
hen	25
wolf	25
remote	25
asleep	25
o'clock	25
easy	25
train	25
hammer	25
one's	25
tower	25
point	25
bible	24
itsy	24
eyeore	24
no”	24
smiling	24
holding	24
sat	24
neck	24
able	24
bitsy	24
spaghetti	24
washcloth	24
dried	24
rub	24
without	24
boys	24
raisins	24
fold	24
sweater	24
shorts	24
plate	24
pajamas	24
d	24
turned	24
drinkie	24
he'll	23
broke	23
instead	23
kitten	23
puppies	23
teethies	23
mootie	23
vasie	23
“oh	23
nasty	23
stayed	23
doctor	23
shapes	23
aladin	23
pudding	23
tick	23
purse	23
hitting	23
cover	23
clown	23
carrot	23
cuddly	23
kinds	23
driver	23
corn	23
peep	23
save	23
tiger	23
henry's	23
shiny	23
pushing	23
nut	23
takes	23
sticky	23
mop	23
couldn't	22
doggie's	22
rocking	22
dirt	22
pour	22
“you	22
calling	22
tie	22
most	22
forget	22
raisin	22
girlie	22
backwards	22
dum	22
wipes	22
lift	22
tomorrow	22
scratch	22
arms	22
field	22
stir	22
shape	21
fittis	21
radio	21
vacuum	21
chance	21
fly	21
walker	21
fan	21
minnie	21
turkey	21
bought	21
faces	21
someone	21
living	21
men	21
beating	21
sticking	21
tried	21
tiny	21
hare	21
letter	21
late	21
thumb	21
guys	21
ticklish	21
whose	21
dark	21
snowman	21
awful	21
pumpkins	21
crawling	21
upset	21
you”	21
wearing	21
spin	21
“i'm	20
roast	20
butter	20
clip	20
balooga	20
sunshine	20
coaster	20
amen	20
lose	20
pinch	20
hoot	20
crib	20
figure	20
she'll	20
jar	20
pussycat	20
baebae	20
life	20
swingie	20
sealie	20
donald	20
live	20
means	20
climbing	20
lookee	20
picking	20
cakes	20
kangaroo	20
weren't	20
alrightie	20
macdonald	20
eve	20
ding	20
mom”	20
kicking	19
back”	19
patty	19
cars	19
worm	19
hugs	19
“stop	19
listening	19
tool	19
mam	19
word	19
strawberries	19
oatmeal	19
mind	19
terrible	19
moose	19
exciting	19
crawls	19
joseph	19
sticks	19
girls	19
zoom	19
carry	19
jack	19
attention	19
click	19
where'd	19
soup	19
forward	19
years	19
sweeters	19
goldfish	19
barney	19
fork	19
corner	19
believe	19
squeak	19
proud	19
riding	19
dish	19
barbie	19
forty	19
teacher	19
squirrels	19
short	19
points	18
longer	18
rosy	18
garden	18
pond	18
giraffe	18
father	18
sugar	18
carpet	18
walkie	18
jumped	18
splat	18
noodle	18
laundry	18
across	18
cluck	18
scared	18
gorilla	18
meat	18
learning	18
flew	18
rolled	18
helping	18
bright	18
shopping	18
humpty	18
gold	18
meet	18
sent	18
stars	18
outfit	18
fill	18
goodbye	18
oranges	18
laying	18
tabitha's	18
inch	18
whale	18
hour	18
clop	18
underneath	17
willy	17
tight	17
slipper	17
pay	17
doors	17
bags	17
baby”	17
swimming	17
comfortable	17
dude	17
myself	17
turning	17
kitties	17
gone”	17
happens	17
indigo	17
definitely	17
donkey	17
yuli	17
seem	17
straight	17
ho	17
treat	17
cord	17
scare	17
lights	17
jeremy	17
heat	17
sees	17
banging	17
trouble	17
slippers	17
dillon's	17
act	17
slip	16
times	16
reason	16
park	16
alligator	16
“	16
begins	16
“come	16
pokemon	16
bringing	16
buttons	16
toast	16
dumpty	16
control	16
jay	16
timmy”	16
dangerous	16
watermelon	16
between	16
softly	16
visit	16
booboon	16
lego	16
neighborhood	16
sunny	16
tip	16
true	16
noises	16
heart	16
suit	16
pointing	16
angel	16
bambi	16
spitting	16
poop	16
sip	16
dat	16
sauce	16
batteries	16
brought	16
easier	16
closer	16
fifteen	15
fixed	15
nails	15
fire	15
crooked	15
allowed	15
genie	15
afraid	15
plants	15
they'll	15
pages	15
ago	15
piano	15
yuckies	15
happen	15
sleeve	15
candle	15
opened	15
frilly	15
waiting	15
angels	15
caw	15
bow	15
holy	15
corduroy	15
rip	15
follow	15
english	15
simba	15
bear's	15
lean	15
that'll	15
precious	15
chase	15
sesame	15
babes	15
wild	15
started	15
straw	15
lamp	15
growing	15
drops	15
washer	15
sea	15
hurry	15
nala	14
cats	14
army	14
line	14
“mommy	14
twist	14
usually	14
wheel	14
cloth	14
strange	14
tickling	14
that”	14
herself	14
stew	14
“that's	14
thirteen	14
sockies	14
handle	14
sweatshirt	14
dakota's	14
clapping	14
wheat	14
bingo	14
pencil	14
helps	14
tweety	14
finally	14
service	14
lived	14
feeties	14
daughter	14
dot	14
helper	14
summer	14
doggy	14
mama”	14
balmex	14
spoons	14
achoo	14
spilled	14
snaps	14
shh	14
plays	14
football	14
goat	14
below	14
tells	14
mice	14
upsa	14
road	14
cook	14
interested	14
young	14
spinning	14
mom's	14
horsies	14
against	14
hiccups	14
groceries	14
roo	14
born	14
chilly	14
diamond	14
fight	14
panther	14
“the	14
dyeisha's	14
mcgregor	13
noisy	13
teething	13
cheeto	13
vegetable	13
r	13
become	13
slippy	13
halle@si	13
tools	13
following	13
windows	13
cooking	13
also	13
rather	13
truly	13
delicious	13
ribbon	13
slam	13
snort	13
hayley	13
balance	13
please”	13
free	13
changing	13
belt	13
wire	13
keeps	13
sort	13
koala	13
mommy'll	13
chalk	13
gus	13
vanilla	13
bam	13
dryer	13
crunch	13
string	13
film	13
cinderella	13
weak	13
cranky	13
bear”	13
broken	13
“move	13
rabbits	13
fountain	13
kid	13
awfully	13
ball”	13
plums	13
baker	13
smells	13
yard	13
reindeer	13
dogs	13
spinach	13
lives	12
indians	12
grocery	12
terry	12
flowing	12
whadd	12
barked	12
eighteen	12
big”	12
combie	12
third	12
raggedy	12
mood	12
cross	12
using	12
awesome	12
return	12
fake	12
mags	12
path	12
suck	12
picked	12
wiping	12
words	12
trick	12
trip	12
certainly	12
curtain	12
acting	12
hush	12
drums	12
stinker	12
scrumptious	12
interesting	12
haystack	12
choose	12
slippery	12
ringing	12
zoo	12
lujah@si	12
paying	12
gas	12
feetsies	12
headed	12
elmo's	12
sailboat	12
papers	12
ahhah	12
fitti	12
swallow	12
awake	12
porridge	12
violet	12
twinkle	12
moses	12
robin	12
enjoying	12
merrily	12
barrettes	12
writing	12
“this	12
tap	12
furniture	12
daddy”	11
sits	11
vaseline	11
fair	11
hurts	11
bop	11
sense	11
sheets	11
week	11
stood	11
hopefully	11
“a@l”	11
except	11
stays	11
thunder	11
runny	11
horn	11
shelf	11
bo	11
wrap	11
container	11
oscar	11
lollipop	11
shade	11
ignore	11
practice	11
surprise	11
buckets	11
oval	11
nappie	11
answer	11
slumber	11
drank	11
body	11
candy	11
video	11
shine	11
circles	11
spaghettios	11
crash	11
feeding	11
chip	11
loved	11
hanging	11
mattress	11
“oink	11
suds	11
feathery	11
bitty	11
girla	11
weasel	11
woke	11
water”	11
grabbing	11
seal	11
row	11
flip	11
puff	11
opens	11
“cock	11
hate	11
its	11
edge	11
doo”	11
pepper	11
dada's	11
present	11
max	11
“there	11
sandwich	11
resting	11
hundred	11
sweets	11
everyone	11
began	11
carl	11
proper	11
blind	11
slipping	11
scratching	11
eats	11
knocking	11
tennis	11
throat	11
arise	11
p	11
size	11
basement	11
draw	11
lions	10
load	10
belongs	10
upon	10
matthew	10
yell	10
mike	10
cried	10
spray	10
shirts	10
screen	10
numbers	10
weird	10
ripped	10
ark	10
raccoon	10
checking	10
stove	10
gum	10
“we	10
wings	10
ditty	10
loose	10
pookie	10
forest	10
earlier	10
clear	10
combing	10
oink”	10
eaten	10
list	10
“roll	10
pies	10
jelly	10
lick	10
“yummy	10
joke	10
beets	10
dizzy	10
rubbing	10
cleaner	10
meal	10
bumpity	10
ignoring	10
strawberry	10
past	10
gabby	10
perfect	10
mothers	10
falls	10
seconds	10
bookies	10
dream	10
“good	10
club	10
yawn	10
stuffed	10
walked	10
key	10
promise	10
shout	10
greedy	10
laura	10
surely	10
pigs	10
wipers	10
mailbox	10
sneeze	10
blows	10
bill	10
dollars	10
needed	10
hops	10
pray	10
seeing	10
welcome	10
roof	10
fairy	10
golf	10
tank	10
claus	10
person	10
fourteen	10
decide	10
supper	10
eeyore	10
sockie	10
monkeys	10
zach	10
bookie	10
fault	10
legos	10
flat	10
harder	10
horses	10
mooshabooshas	10
squeaky	10
breathe	10
shadow	10
belong	10
battery	10
machine	10
send	10
self	10
mickey's	9
bees	9
baskets	9
further	9
squish	9
out”	9
smoke	9
dad's	9
chimes	9
darling	9
serious	9
crumbs	9
reaching	9
oats	9
london	9
broth	9
jasmine	9
balcony	9
yawning	9
underarm	9
blink	9
“bouncy	9
kleenex	9
sliding	9
june	9
“it's	9
ewie	9
games	9
mootiemooshas	9
mooshboosh	9
unless	9
sleeves	9
hill	9
lip	9
grandpa	9
cheek	9
scream	9
“up	9
fifty	9
bushes	9
popsicle	9
horsie”	9
lord's	9
itch	9
huff	9
queeka	9
yummy”	9
munch	9
“thank	9
pair	9
songs	9
presents	9
tock	9
chili	9
gosh	9
garage	9
friday	9
“more	9
magnet	9
darn	9
liked	9
puppet	9
stomp	9
kanga	9
queekie	9
swinging	9
fighting	9
recorder	9
tadah	9
jacob's	9
tiggers	9
“and	9
burt	9
camera	9
bumped	9
picnic	9
“it	9
octopus	9
woman	9
granny	9
roller	9
covers	9
gotten	9
swim	9
waffles	9
gifts	9
jonah	9
bleach	9
cradle	9
spill	9
letting	9
rectangle	9
mouthful	9
helped	9
squeeze	9
wrote	9
unbuckle	9
covered	9
figured	9
picachu	9
god's	9
thy	9
whining	9
bunny's	9
heaven	9
magnets	9
seems	9
stretch	9
policeman	9
older	9
bicycle	9
taxi	9
cheep	9
pulled	9
speak	9
sunglasses	9
hardly	9
shoot	9
pasta	9
starting	9
sneaky	9
tags	9
jafar	9
naughty	9
touching	9
smartie	9
jungle	9
musical	9
apron	9
dong	8
tom	8
geese	8
nineteen	8
“yes	8
moo”	8
wrinkly	8
cabinet	8
gatorade	8
b	8
cups	8
learned	8
moved	8
lazy	8
strap	8
helicopter	8
gums	8
rubber	8
onesie	8
somersault	8
trapped	8
mamama	8
“i'll	8
dumped	8
tag	8
fingernails	8
sean	8
wrecking	8
lips	8
birdies	8
“bunny	8
emmy	8
closing	8
weather	8
posy	8
“meow	8
attacking	8
judy's	8
chirp	8
jacks	8
chime	8
rude	8
grover	8
fourth	8
patio	8
ink	8
pail	8
itchy	8
haha	8
stomach	8
coop	8
letters	8
“don't	8
so@si	8
go”	8
pigpen	8
“how	8
hippopotamus	8
mustard	8
plane	8
fridge	8
crap	8
lock	8
meow”	8
hood	8
stack	8
nugget	8
controller	8
message	8
sand	8
chocolate	8
scratched	8
stall	8
voice	8
crabby	8
woof”	8
“woof	8
“gimme	8
escape	8
chick	8
weepie	8
decided	8
iron	8
boogie	8
end”	8
dig	8
clippers	8
cat”	8
fancy	8
wreck	8
spread	8
triangles	8
christopher	8
phones	8
net	8
boring	8
“where	8
tippy	8
bracelet	8
throws	8
knack	8
mi@si	8
snake	8
opening	8
crinkly	8
regular	8
buying	8
crunchy	8
desk	8
bones	8
warmer	8
spins	8
named	8
plastic	8
hollering	8
knick	8
chasing	8
important	8
“wee	8
dairy	8
pinnochio	8
sour	8
kissed	8
fever	8
zebra	8
j	8
skin	8
zippers	8
bedtime	8
granddaddy	8
punkin	8
dead	8
hum	8
ribbet	8
sounded	8
barrette	8
“moo	8
stupid	8
bantam	8
motorcycle	7
magazine	7
sucking	7
hook	7
bench	7
david	7
aid	7
dress	7
brothers	7
middle	7
seek	7
rush	7
leaning	7
taller	7
tippietoe	7
fact	7
kite	7
double	7
greatly	7
shoelaces	7
windy	7
o	7
spring	7
wafers	7
panda	7
hours	7
boxes	7
here”	7
board	7
bank	7
rolls	7
polish	7
“clean	7
bush	7
“here	7
bats	7
around”	7
yelling	7
rattles	7
although	7
speaking	7
smack	7
safe	7
gee	7
booger	7
faster	7
waterfall	7
clever	7
nuhuh	7
woods	7
hyena	7
do@si	7
grapes	7
slinky	7
longest	7
pickles	7
hasn't	7
complain	7
massage	7
especially	7
boil	7
today's	7
purpose	7
staying	7
suppose	7
hens	7
city	7
hiccup	7
pointed	7
coughing	7
winter	7
bug	7
secret	7
elmo”	7
tylenol	7
fa@si	7
phony	7
ham	7
sweeta	7
fasten	7
there”	7
attack	7
tickles	7
sweeping	7
smooth	7
pillows	7
wahwahwah@wp	7
rug	7
vitamins	7
monitor	7
case	7
pots	7
packed	7
untie	7
sign	7
months	7
patches	7
buttsie	7
backing	7
skateboard	7
frustrated	7
dial	7
biggest	7
squeal	7
packing	7
natural	7
itching	7
turns	7
hurting	7
pooie	7
duck”	7
doozy	7
skip	7
“oh”	7
shoulder	7
towels	7
licking	7
silky	7
choking	7
neato	7
doughnut	7
teletubby	7
reached	7
inches	7
“excuse	7
thee	7
snowman's	7
glory	7
cap	7
microwave	7
keaton	7
dada”	7
michael	7
plain	7
loads	7
bell	7
sisters	7
mixing	7
race	7
muddy	7
destructive	7
surprised	7
wooly	7
genesis	7
finding	7
grouch	7
andy's	7
drummer	7
clifford's	7
brisco's	7
sofa	7
pouring	7
product	7
rash	7
time”	7
brother	7
squeaks	7
yulibobs	7
goldilocks	7
shoulda	7
cornfield	7
turtles	7
grits	7
pacifier	7
worship	7
whispering	7
meadow	7
sheet	7
holder	7
holes	7
bibbie	7
lie	7
“my	7
rabbit's	7
exactly	7
garbage	7
“what	7
trucks	7
waste	7
wires	7
anyone	7
stomped	7
july	7
is”	7
hercules	7
promised	7
grape	7
milkie	7
realize	7
blockie	7
farmer's	7
bugs	7
seventeen	7
frosty	7
sudden	7
cork	7
deal	7
choke	7
pottie	7
lightning	7
prince	6
hee	6
dumb	6
track	6
question	6
smily	6
plenty	6
junk	6
thick	6
extra	6
interest	6
television	6
bark	6
dillon”	6
jammies	6
locked	6
“yum	6
poopsie	6
“so	6
rained	6
pampers	6
frogs	6
decibels	6
hannah	6
unhappy	6
bobo	6
pantsies	6
“yeah	6
tumbling	6
sweetest	6
boogies	6
sandals	6
butterflies	6
trust	6
holler	6
mouses	6
doggy's	6
taught	6
hairie	6
“ding	6
“kitty	6
brick	6
boats	6
raccoons	6
parading	6
“not	6
indeed	6
ravens	6
“that	6
munchkin	6
toddler	6
sorts	6
over”	6
screaming	6
jeans	6
nicely	6
sweepie	6
junior	6
wobbly	6
soda	6
sucker	6
touched	6
sore	6
near	6
seats	6
sponge	6
disney	6
bummie	6
blessings	6
excellent	6
ounces	6
“push	6
stepped	6
abu	6
treats	6
building	6
ray	6
tinkywinky	6
cutting	6
feetie	6
wafer	6
language	6
drool	6
arf	6
ashamed	6
taping	6
forever	6
napkin	6
pad	6
king's	6
became	6
counter	6
timber	6
grams	6
flopsy	6
emily	6
taken	6
pooh's	6
hog	6
mary	6
tootsie	6
tomcat	6
felt	6
pouch	6
owls	6
stinks	6
indian	6
dolly	6
muffin	6
doozies	6
nas	6
eyore	6
bother	6
witch	6
drain	6
pats	6
nana's	6
loaf	6
puddle	6
known	6
breeze	6
“put	6
higher	6
shaped	6
sight	6
pedialyte	6
tweetie	6
bran	6
dries	6
dreaming	6
vane	6
buster	6
blew	6
power	6
something's	6
beds	6
dieing	6
climbed	6
uses	6
lever	6
dust	6
boobooneen	6
uhhum	6
overflow	6
squealed	6
mush	6
lime	6
bird”	6
thingie	6
twisty	6
hears	6
quietly	6
attacked	6
fluffy	6
tied	6
piglet's	6
flop	6
pigeon	6
halfway	6
shakes	6
thursday	6
sixteen	6
daily	6
spud	6
goofy	6
stopped	6
palace	6
karen	6
ship	6
curly	6
heavens	6
peanuts	6
mousie	6
nearby	6
poopies	6
kiki	6
fed	6
built	6
met	6
